player_id,player_name,jersey_number,country
3139,Chidozie Collins Awaziem,20,Nigeria
3447,Ademola Lookman,18,Nigeria
3647,Alex Iwobi,17,Nigeria
3708,Kelechi Promise Iheanacho,14,Nigeria
3806,Bright Osayi-Samuel,12,Nigeria
3856,Joe Aribo,10,Nigeria
3923,Oluwasemilogo Adesewo Ibidapo Ajayi,6,Nigeria
5454,Francis Odinaka Uzoho,1,Nigeria
5455,William Troost-Ekong,5,Nigeria
5473,Ahmed Musa,7,Nigeria
5830,Kenneth Josiah Omeruo,22,Nigeria
11277,Victor James Osimhen,9,Nigeria
11492,Temitayo Olufisayo Olaoluwa Aina,2,Nigeria
16335,Samuel Chimerenka Chukwueze,11,Nigeria
18163,Moses Daddy-Ajala Simon,15,Nigeria
24467,Frank Onyeka,8,Nigeria
24478,Paul Onuachu,19,Nigeria
27434,Alhassan Yusuf,4,Nigeria
31949,Zaidu Sanusi,3,Nigeria
34335,Terem Igobor Moffi,24,Nigeria
38862,Raphael Onyedika,25,Nigeria
43779,Calvin Bassey Ughelumba,21,Nigeria
358410,Stanley Bobo Nwabali,23,Nigeria
3013,Nicolas Pépé,19,Côte d'Ivoire
3017,Ibrahim Sangaré,18,Côte d'Ivoire
3359,Jean Michaël Seri,4,Côte d'Ivoire
3481,Serge Aurier,17,Côte d'Ivoire
4256,Jonathan Bamba,9,Côte d'Ivoire
4416,Max-Alain Gradel,15,Côte d'Ivoire
4909,Jeremie Boga,13,Côte d'Ivoire
7023,Franck Yannick Kessié,8,Côte d'Ivoire
7713,Obite Evan Ndicka,21,Côte d'Ivoire
7791,Seko Fofana,6,Côte d'Ivoire
8673,Sébastien Haller,22,Côte d'Ivoire
10039,Ghislain Konan,3,Côte d'Ivoire
12496,Christian Kouamé,20,Côte d'Ivoire
23957,Jean Thierry Lazare Amani,27,Côte d'Ivoire
24901,Ismaël Chester Diallo,26,Côte d'Ivoire
27133,Odilon Kossonou,7,Côte d'Ivoire
36539,Wilfried Stephane Singo,5,Côte d'Ivoire
36629,Yahia Fofana,1,Côte d'Ivoire
43072,Jean-Philippe Krasso,11,Côte d'Ivoire
105392,Simon Adingra,24,Côte d'Ivoire
136062,Badra Ali Sangaré,23,Côte d'Ivoire
196109,Ousmane Diomande,2,Côte d'Ivoire
212489,Oumar Diakité,14,Côte d'Ivoire
