match_id,home_team,home_score,away_team,away_score
3923881,Nigeria,1,Côte d'Ivoire,2
3923880,South Africa,0,Congo DR,0
3922838,Côte d'Ivoire,1,Congo DR,0
3922837,Nigeria,1,South Africa,1
3922242,Senegal,1,Côte d'Ivoire,1
3922239,Equatorial Guinea,0,Guinea,1
3922659,Mali,1,Côte d'Ivoire,2
3922658,Cape Verde Islands,0,South Africa,0
3922244,Mali,2,Burkina Faso,1
3922356,Congo DR,3,Guinea,1
3922321,Nigeria,1,Angola,0
3922237,Angola,3,Namibia,0
3922243,Morocco,0,South Africa,2
3922241,Cape Verde Islands,1,Mauritania,0
3922240,Egypt,1,Congo DR,1
3922238,Nigeria,2,Cameroon,0
3920396,Egypt,2,Ghana,2
3920386,Nigeria,1,Equatorial Guinea,1
3920385,Egypt,2,Mozambique,2
3920387,Ghana,1,Cape Verde Islands,2
3920419,Zambia,0,Morocco,1
3920418,Tanzania,0,Congo DR,0
3920417,Namibia,0,Mali,0
3920416,South Africa,0,Tunisia,0
3920415,Mauritania,1,Algeria,0
3920414,Angola,2,Burkina Faso,0
3920413,Gambia,2,Cameroon,3
3920412,Guinea,0,Senegal,2
3920411,Cape Verde Islands,2,Egypt,2
3920410,Mozambique,2,Ghana,2
3920409,Guinea-Bissau,0,Nigeria,1
3920408,Equatorial Guinea,4,Côte d'Ivoire,0
3920407,South Africa,4,Namibia,0
3920406,Zambia,1,Tanzania,1
3920405,Morocco,1,Congo DR,1
3920404,Tunisia,1,Mali,1
3920403,Mauritania,2,Angola,3
3920402,Algeria,2,Burkina Faso,2
3920401,Guinea,1,Gambia,0
3920400,Senegal,3,Cameroon,1
3920399,Cape Verde Islands,3,Mozambique,0
3920398,Côte d'Ivoire,0,Nigeria,1
3920397,Equatorial Guinea,4,Guinea-Bissau,2
3920395,Congo DR,1,Zambia,1
3920394,Morocco,3,Tanzania,0
3920393,Tunisia,0,Namibia,1
3920392,Burkina Faso,1,Mauritania,0
3920391,Mali,2,South Africa,0
3920390,Algeria,1,Angola,1
3920389,Cameroon,1,Guinea,1
3920388,Senegal,3,Gambia,0
3920384,Côte d'Ivoire,2,Guinea-Bissau,0
