Index,Team,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34
0,1.FC Köln,1,13,15,14,16,16,17,18,16,17,18,17,18,15,16,15,17,17,17,17,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
1,1.FSV Mainz 05,2,16,13,17,18,18,18,17,18,18,17,16,16,17,17,17,16,16,16,16,17,17,17,17,17,17,16,16,16,16,15,16,16,15,13
2,Bayer Leverkusen,3,5,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Bayern Munich,4,2,2,2,2,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
4,Borussia Dortmund,5,7,6,9,7,6,4,4,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
5,Borussia M'gladbach,6,9,12,16,14,15,13,12,13,11,11,9,11,10,10,11,12,10,12,12,13,13,15,12,12,12,12,13,11,11,12,13,13,13,14
6,Darmstadt 98,7,14,17,18,17,17,15,11,12,14,15,15,15,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7,Eintracht Frankfurt,8,8,7,10,9,8,9,8,7,7,7,7,7,7,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,FC Augsburg,9,10,11,12,15,12,14,15,10,10,10,10,10,9,9,10,11,12,10,13,12,11,14,11,10,9,7,7,7,7,8,8,9,10,11
9,Heidenheim,10,15,16,15,11,13,10,10,11,13,13,13,13,14,13,12,9,9,9,10,10,9,10,10,11,11,11,11,10,10,10,10,10,9,8
10,RB Leipzig,11,11,8,4,3,4,5,6,5,5,5,4,5,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
11,SC Freiburg,12,6,5,8,10,9,8,9,8,8,8,8,9,8,8,6,8,7,7,7,7,7,8,9,9,8,9,8,9,8,7,7,7,8,10
12,TSG Hoffenheim,13,12,10,6,5,5,6,5,6,6,6,6,6,6,6,7,7,8,8,8,8,8,9,7,7,7,8,9,8,9,9,9,8,7,7
13,Union Berlin,14,3,1,5,8,10,11,13,15,15,16,18,17,18,15,16,15,15,15,15,15,15,13,14,14,14,13,12,13,13,14,14,15,16,15
14,VfB Stuttgart,15,1,9,3,4,3,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
15,VfL Bochum,16,18,14,13,13,14,16,16,17,16,14,14,14,12,14,13,14,14,14,14,14,14,11,15,15,15,15,15,15,15,16,15,14,14,16
16,VfL Wolfsburg,17,4,4,7,6,7,7,7,9,9,9,11,8,11,11,9,10,11,11,11,11,12,12,13,13,13,14,14,14,14,13,12,12,12,12
17,Werder Bremen,18,17,18,11,12,11,12,14,14,12,12,12,12,13,12,14,13,13,13,9,9,10,7,8,8,10,10,10,12,12,11,11,11,11,9
