player_id,player_name,jersey_number,country
3500,Granit Xhaka,34,Switzerland
7044,Patrik Schick,14,Czech Republic
8221,Jonathan Tah,4,Germany
8667,Lukáš Hrádecký,1,Finland
8804,Jonas Hofmann,7,Germany
9195,Robert Andrich,8,Germany
11391,Borja Iglesias Quintas,9,Spain
27133,Odilon Kossonou,6,Côte d'Ivoire
28239,Adam Hložek,23,Czech Republic
28268,Exequiel Alejandro Palacios,25,Argentina
30606,Edmond Fayçal Tapsoba,12,Burkina Faso
32289,Victor Okoh Boniface,22,Nigeria
32712,Jeremie Frimpong,30,Netherlands
33401,Amine Adli,21,Morocco
38004,Piero Martín Hincapié Reyna,3,Ecuador
41411,Nathan Tella,19,England
46046,Matěj Kovář,17,Czech Republic
49337,Josip Stanišić,2,Croatia
196651,Arthur Augusto de Matos Soares,13,Brazil
261630,Gustavo Adolfo Puerta Molano,32,Colombia
