player_id,player_name,jersey_number,country
3500,Granit Xhaka,34,Switzerland
7044,Patrik Schick,14,Czech Republic
8221,Jonathan Tah,4,Germany
8667,Lukáš Hrádecký,1,Finland
8804,Jonas Hofmann,7,Germany
9195,Robert Andrich,8,Germany
10336,Alejandro Grimaldo García,20,Spain
27133,Odilon Kossonou,6,Côte d'Ivoire
28268,Exequiel Alejandro Palacios,25,Argentina
30606,Edmond Fayçal Tapsoba,12,Burkina Faso
32289,Victor Okoh Boniface,22,Nigeria
32712,Jeremie Frimpong,30,Netherlands
33401,Amine Adli,21,Morocco
38004,Piero Martín Hincapié Reyna,3,Ecuador
40724,Florian Wirtz,10,Germany
41411,Nathan Tella,19,England
46046,Matěj Kovář,17,Czech Republic
49337,Josip Stanišić,2,Croatia
196651,Arthur Augusto de Matos Soares,13,Brazil
261630,Gustavo Adolfo Puerta Molano,32,Colombia
11391,Borja Iglesias Quintas,9,Spain
28239,Adam Hložek,23,Czech Republic
114833,Noah Mbamba,18,Belgium
3465,Timothy Evans Fosu-Mensah,24,Netherlands
12075,Niklas Lomb,36,Germany
8403,Nadiem Amiri,11,Germany
319930,Ken Eghosa Gideon Izekor,38,Germany
335198,Francis-Ikechukwu Onyeka,40,Germany
394479,Reno Münz,48,Germany
