eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
pass,successful,south,0.73333335,southCenterNZ,nz,evenStrength,0,311,111452,80264,-2.3167724609375,9.80882263183594
reception,successful,regular,1.3333334,centerPointDZ,dz,evenStrength,0,311,80,80264,-26.4579467773437,6.79117584228516
pass,successful,stretchoffboards,2.5666666,westPointDZ,dz,evenStrength,0,311,80,80264,-30.4814758300781,30.93235206604
reception,successful,regular,3.1666667,northEastBoardsNZ,nz,evenStrength,0,311,111452,80264,3.71852111816406,35.4588241577148
pass,successful,outlet,5.4333334,innerSlotDZ,dz,evenStrength,0,315,80264,5152,-81.1714630126953,3.77058792114258
reception,successful,regular,6.3333335,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-67.089111328125,39.9823532104492
pass,successful,south,11.233334,southEastBoardsNZ,nz,evenStrength,0,315,10534,5152,-17.2979354858398,27.408821105957
reception,successful,regular,14.333333,eastPointDZ,dz,evenStrength,0,315,400162,5152,-51.497932434082,-32.9441184997559
pass,successful,d2doffboards,15.466666,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-77.6508712768555,-25.9029407501221
reception,successful,regular,16.666666,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-85.6979293823242,23.8882369995117
pass,successful,outlet,17.966667,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-80.1655807495117,33.4441146850586
reception,successful,regular,19,southWestBoardsNZ,nz,evenStrength,0,315,81408,5152,-15.7891082763672,-36.4647064208984
pass,successful,north,24.233334,westPoint,oz,evenStrength,0,311,94531,80264,36.9047775268555,-39.4794082641602
reception,successful,regular,27.366667,outsideNorthEast,oz,evenStrength,0,311,109964,80264,98.2636032104492,5.78529357910156
pass,successful,south,29.566668,outsideNorthWest,oz,evenStrength,0,311,109964,80264,81.1636047363281,-36.9647064208984
reception,successful,regular,30.633333,westPoint,oz,evenStrength,0,311,94531,80264,27.8518371582031,-37.467643737793
shot,failed,outsideblocked,30.733334,westPoint,oz,evenStrength,0,311,94531,80264,30.8694839477539,-36.9647064208984
pass,failed,d2doffboards,36.233334,outsideNorthWestDZ,dz,evenStrength,0,315,400162,5152,-96.7547760009766,24.8941192626953
pass,successful,south,38.033333,outsideNorthWest,oz,evenStrength,0,311,370192,80264,96.7547988891602,-12.8234996795654
reception,successful,regular,38.4,outsideNorthWest,oz,evenStrength,0,311,109964,80264,77.6430130004883,-15.3382339477539
shot,successful,outside,38.633335,outsideNorthWest,oz,evenStrength,1,311,109964,80264,80.1577224731445,-13.3264694213867
pass,failed,outlet,48.433334,outsideNorthWestDZ,dz,evenStrength,0,311,237838,80264,-92.3511047363281,25.3999996185303
pass,successful,north,50.033333,westPoint,oz,evenStrength,0,315,20775372,5152,50.6069793701172,-36.9676475524902
reception,successful,regular,50.5,outsideNorthWest,oz,evenStrength,0,315,126723,5152,73.7422790527344,-39.4823532104492
pass,successful,outletoffboards,54.366665,outsideNorthWestDZ,dz,evenStrength,0,311,6588,80264,-84.3040466308594,36.4647064208984
reception,successful,regular,54.966667,outsideNorthWestDZ,dz,evenStrength,0,311,111452,80264,-65.6952209472656,40.4882354736328
pass,successful,outletoffboards,56.266666,outsideNorthWestDZ,dz,evenStrength,0,311,111452,80264,-65.6952209472656,39.985294342041
reception,successful,regular,56.866665,westPointDZ,dz,evenStrength,0,311,237838,80264,-52.6187438964844,35.9617652893066
pass,failed,northoffboards,58.233334,southEastBoardsNZ,nz,evenStrength,0,311,237838,80264,-24.4540405273437,26.9088230133057
