compiledgametime,playerid,xg
82.2,56711,0.25267819237262
90.9,108339,0.392448285746574
154.1,80,0.32243465833664
234.5,78625,0.26114460747987
236.3,79380,0.25203896375671
347.2,94531,0.253509001492708
354.2,111452,0.510810280370712
512.5,82048,0.390949199128152
512.6,20161,0.267792539823056
30.733334,94531,0.00293909618631
38.633335,109964,0.072824142873287
79.433334,884,0.03781732916832
111.13333,1462,0.007172303739935
131.7,109964,0.002619481878355
146.36667,20775372,0.003354500746354
186.56667,20775372,0.132005140185356
236.93333,81408,0.072074599564076
306.9,81408,0.010496269911528
377.3,111452,0.137232854962349
424.06668,5814,0.020754542201758
429,6588,0.011676935479045
639.8,79380,0.010269571095705
645.06665,79380,0.021211752668023
741.0333,112050,0.006137403193861
827.56665,1731661,0.051470704376698
879.6,79380,0.013688003644347
881.26666,400162,0.011720903217793
895.8333,81408,0.086265996098518
952.6,79380,0.025595949962735
955.9667,1731661,0.00204181810841
981.26666,81408,0.047727774828673
995.8,126723,0.08705361187458
1072.4333,109964,0.068472027778626
1079,111452,0.100935317575932
1093.6333,6588,0.023612692952156
1120.5667,111452,0.160783916711807
1124.6333,6588,0.081759601831436
1194.1666,112050,0.008336460217834
1208.2,109964,0.201196134090424
1216.7333,179172,0.06354458630085
1285.0667,94531,0.007458189502358
1326.4667,82048,0.027807794511318
1369.6,370192,0.04742319136858
1380.4333,446706,0.005878760479391
1401.8667,20775372,0.006164410151541
1427.6666,112050,0.076269127428532
1440.4333,94531,0.013616813346744
1469.5667,370192,0.033909503370524
1489.1666,370192,0.035002913326025
1501.7667,94531,0.015322030521929
1649.9333,80518,0.018256891518831
1676.6,79380,0.027553794905543
1735.3334,81408,0.044769328087568
1762.6333,884,0.030257742851973
1788.1,82048,0.031752228736878
1807.7333,884,0.013978786766529
1819.6,400162,0.004154142457992
1840.1,884,0.047874178737402
1885.2333,111452,0.017890220507979
1955.0667,110409,0.027948807924986
2007.2667,113401,0.11364021897316
2007.6,1731661,0.747712552547455
2027.2333,94531,0.016057480126619
2058.6,111452,0.01050647161901
2103.9,81408,0.025944080203772
2111.3,202206,0.012742507271469
2125.2334,370192,0.032597880810499
2128.6,112050,0.025689098984003
2181.4,112050,0.268313348293304
2201.3,237838,0.006795152556151
2222.6333,6588,0.030269835144281
2241.8,80,0.018114468082786
2247.0334,80,0.004898785613477
2268.8,79380,0.00358726340346
2277,20775372,0.002579872030765
2318.4,6588,0.008634299039841
2323.4,112050,0.04716582223773
2328.5667,108339,0.012387390248478
2365.6333,370192,0.093597650527954
2371.2666,6588,0.003140690037981
2399.3,80518,0.004230030812323
2464.5667,80518,0.071350544691086
2496.6333,109964,0.037383869290352
2504.2666,370192,0.118994668126106
2565.9333,80518,0.052068904042244
2569.2,179172,0.03099444322288
2587.4666,110856,0.020931392908096
2590.0667,56711,0.010988466441631
2648.4333,81408,0.312032103538513
2683.8333,126723,0.04468622431159
2735.3333,1731661,0.00250083534047
2777.8667,79380,0.001795615651645
2800.1667,202206,0.002874185331166
2849.6667,82048,0.015964657068253
2888.6,111452,0.022577291354537
2934.9,81408,0.060268726199865
2939.6,81408,0.064944908022881
2944.7334,79380,0.018795348703861
2953,81408,0.037620581686497
3039.8333,126723,0.020602632313967
3041.2,179172,0.128633573651314
3051.3333,370192,0.049930345267058
3072.7666,110409,0.01408610586077
3077.6667,446706,0.002731650136411
3081.8333,94531,0.007748736534268
3115.8667,370192,0.11107562482357
3152.5,400162,0.020746611058712
3172.9333,400162,0.001842714729719
3177.7,108339,0.002438285155222
3202.1,110409,0.025247897952795
3223.4,94531,0.005776027683169
3355.4666,20161,0.051444169133902
3397.5,111452,0.009029546752572
3401,1731661,0.011651632376015
3402.4333,237838,0.129963353276253
3416.1333,370192,0.022433826699853
3435.9,112050,0.180000737309456
3463.0667,82048,0.093578658998013
3486.0334,237838,0.050528567284346
3517.4,110409,0.190464913845062
3532.7,54915,0.059073459357023
3586.5,20161,0.001866080448963
3631.8,81408,0.060863930732012
3652.0667,81408,0.051919233053923
3675.7666,78625,0.04025149717927
3682.3333,78625,0.090814083814621
3698.1,81408,0.078794606029987
3705.8,79380,0.100542649626732
3742.1,81408,0.019536968320608
3821.4333,81408,0.068138621747494
3829.3,81408,0.065703138709068
3838.7666,81408,0.050909824669361
