player_id,player_name,jersey_number,country
3139,Chidozie Collins Awaziem,20,Nigeria
3447,Ademola Lookman,18,Nigeria
3647,Alex Iwobi,17,Nigeria
3708,Kelechi Promise Iheanacho,14,Nigeria
3806,Bright Osayi-Samuel,12,Nigeria
3856,Joe Aribo,10,Nigeria
3923,Oluwasemilogo Adesewo Ibidapo Ajayi,6,Nigeria
5454,Francis Odinaka Uzoho,1,Nigeria
5455,William Troost-Ekong,5,Nigeria
5473,Ahmed Musa,7,Nigeria
5830,Kenneth Josiah Omeruo,22,Nigeria
11277,Victor James Osimhen,9,Nigeria
11492,Temitayo Olufisayo Olaoluwa Aina,2,Nigeria
16335,Samuel Chimerenka Chukwueze,11,Nigeria
18163,Moses Daddy-Ajala Simon,15,Nigeria
24467,Frank Onyeka,8,Nigeria
24478,Paul Onuachu,19,Nigeria
27434,Alhassan Yusuf,4,Nigeria
31949,Zaidu Sanusi,3,Nigeria
34335,Terem Igobor Moffi,24,Nigeria
38862,Raphael Onyedika,25,Nigeria
43779,Calvin Bassey Ughelumba,21,Nigeria
358410,Stanley Bobo Nwabali,23,Nigeria
133780,Sopuruchukwu Bruno Onyemaechi,13,Nigeria
413688,Olorunleke Oluwasegun Ojo,16,Nigeria
